,date,first,high,low,close,value,volume
0,2019-03-27,1200.0,1230.0,1155.0,1185.0,176335315273,148797731
1,2019-03-26,1165.0,1181.0,1155.0,1175.0,53776077278,45752698
2,2019-03-25,1104.0,1148.0,1090.0,1125.0,54284964909,48266909
3,2019-03-19,1098.0,1104.0,1088.0,1094.0,51346602848,46915467
4,2019-03-18,1087.0,1107.0,1080.0,1093.0,52023922956,47613958
5,2019-03-17,1065.0,1105.0,1065.0,1086.0,78396879094,72188704
6,2019-03-16,1070.0,1080.0,1058.0,1066.0,57287636127,53749117
7,2019-03-13,1060.0,1074.0,1055.0,1061.0,55718917819,52520158
8,2019-03-12,1054.0,1076.0,1051.0,1059.0,49538838809,46776193
9,2019-03-11,1082.0,1088.0,1051.0,1064.0,73336785235,68903847
10,2019-03-10,1076.0,1095.0,1068.0,1079.0,42877177076,39739845
11,2019-03-09,1075.0,1100.0,1056.0,1077.0,60933181709,56576034
12,2019-03-06,1069.0,1092.0,1062.0,1072.0,51367352863,47924949
13,2019-03-05,1090.0,1093.0,1059.0,1069.0,65889015944,61621816
14,2019-03-04,1100.0,1126.0,1091.0,1102.0,57785361532,52434894
15,2019-03-03,1111.0,1130.0,1090.0,1105.0,58313032695,52769132
16,2019-03-02,1130.0,1132.0,1101.0,1112.0,47924323154,43111832
17,2019-02-27,1135.0,1145.0,1122.0,1132.0,51226216320,45249567
18,2019-02-26,1121.0,1148.0,1115.0,1127.0,68101160947,60428503
19,2019-02-25,1143.0,1195.0,1115.0,1161.0,175328469578,151024773
20,2019-02-24,1143.0,1166.0,1131.0,1147.0,111453678988,97136850
21,2019-02-23,1090.0,1134.0,1080.0,1115.0,137955720661,123759359
22,2019-02-20,1109.0,1109.0,1069.0,1080.0,49547394142,45871846
23,2019-02-19,1082.0,1106.0,1082.0,1095.0,52275181016,47739623
24,2019-02-18,1075.0,1090.0,1066.0,1079.0,45151461172,41851972
25,2019-02-17,1078.0,1078.0,1042.0,1055.0,42748497373,40505139
26,2019-02-16,1078.0,1090.0,1060.0,1074.0,52237856396,48635933
27,2019-02-13,1060.0,1087.0,1025.0,1050.0,86245725427,82157990
28,2019-02-12,1090.0,1096.0,1052.0,1063.0,51595564690,48540482
29,2019-02-10,1108.0,1120.0,1078.0,1095.0,41947601933,38298496
30,2019-02-06,1082.0,1118.0,1063.0,1087.0,85362349684,78539570
31,2019-02-05,1095.0,1098.0,1069.0,1078.0,50975075112,47303012
32,2019-02-04,1090.0,1110.0,1076.0,1092.0,86521199173,79249110
33,2019-02-03,1090.0,1115.0,1056.0,1074.0,96046513643,89428273
34,2019-02-02,1137.0,1139.0,1081.0,1098.0,118676719982,108119818
35,2019-01-30,1159.0,1169.0,1121.0,1137.0,116430787978,102418235
36,2019-01-28,1140.0,1175.0,1120.0,1150.0,98488487885,85609904
37,2019-01-27,1113.0,1174.0,1112.0,1139.0,136281310788,119688870
38,2019-01-26,1180.0,1183.0,1122.0,1132.0,158597895702,140109782
39,2019-01-23,1190.0,1210.0,1155.0,1181.0,92095124349,77963974
40,2019-01-22,1150.0,1215.0,1121.0,1167.0,256250982927,219514827
41,2019-01-21,1180.0,1180.0,1180.0,1180.0,21474028220,18198329
42,2019-01-20,1270.0,1284.0,1221.0,1242.0,159669374136,128523463
43,2019-01-19,1287.0,1314.0,1241.0,1274.0,169407322109,132943285
44,2019-01-16,1330.0,1330.0,1268.0,1282.0,260923097043,203492164
45,2019-01-15,1350.0,1374.0,1310.0,1333.0,280526500540,210498837
46,2019-01-14,1409.0,1409.0,1365.0,1378.0,218767027431,158777906
47,2019-01-13,1453.0,1490.0,1398.0,1436.0,582134614266,405305361
48,2019-01-12,1350.0,1384.0,1328.0,1356.0,117569007086,86727945
49,2019-01-09,1361.0,1380.0,1317.0,1342.0,173892613777,129596969
50,2019-01-08,1395.0,1405.0,1330.0,1353.0,194580231181,143796139
51,2019-01-07,1385.0,1417.0,1370.0,1393.0,191629991885,137597900
52,2019-01-06,1400.0,1425.0,1375.0,1387.0,208809102813,150555132
53,2019-01-05,1399.0,1460.0,1391.0,1425.0,245857454406,172530516
54,2019-01-02,1409.0,1462.0,1380.0,1425.0,352760238936,247568458
55,2019-01-01,1399.0,1436.0,1370.0,1398.0,304642154733,217974040
56,2018-12-31,1372.0,1419.0,1361.0,1411.0,536582515923,380405854
57,2018-12-30,1320.0,1387.0,1310.0,1352.0,291916852775,215880554
58,2018-12-29,1355.0,1375.0,1310.0,1339.0,173488626352,129596702
59,2018-12-26,1275.0,1335.0,1274.0,1326.0,381863013173,288062692
60,2018-12-25,1278.0,1289.0,1260.0,1272.0,92752021146,72923491
61,2018-12-24,1310.0,1313.0,1276.0,1291.0,119619166218,92663535
62,2018-12-23,1270.0,1315.0,1270.0,1291.0,128877575820,99795365
