<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
F..&.Kh..Cement,20190327,2000.00,2086.00,1980.00,2083.00,46097432206,22132523,703,D,1987.00,2086.00
F..&.Kh..Cement,20190326,1930.00,1988.00,1910.00,1987.00,96554803953,48598743,1495,D,1894.00,1988.00
F..&.Kh..Cement,20190325,1800.00,1908.00,1800.00,1894.00,21787549082,11504024,492,D,1818.00,1908.00
F..&.Kh..Cement,20190319,1800.00,1823.00,1718.00,1818.00,56345395909,30988857,1037,D,1737.00,1823.00
F..&.Kh..Cement,20190318,1711.00,1780.00,1706.00,1737.00,31245464980,17993301,767,D,1753.00,1770.00
F..&.Kh..Cement,20190317,1739.00,1799.00,1711.00,1753.00,9692771868,5530725,405,D,1769.00,1743.00
F..&.Kh..Cement,20190316,1749.00,1779.00,1710.00,1769.00,26464665218,14959589,797,D,1695.00,1739.00
F..&.Kh..Cement,20190313,1678.00,1698.00,1664.00,1695.00,88828989225,52420237,1530,D,1618.00,1698.00
F..&.Kh..Cement,20190312,1566.00,1620.00,1556.00,1618.00,55130921583,34078482,1074,D,1543.00,1620.00
F..&.Kh..Cement,20190311,1505.00,1560.00,1505.00,1543.00,5242501258,3397480,269,D,1503.00,1554.00
F..&.Kh..Cement,20190310,1520.00,1525.00,1458.00,1503.00,10685918029,7111002,622,D,1484.00,1523.00
F..&.Kh..Cement,20190309,1520.00,1545.00,1450.00,1484.00,1997340286,1355466,230,D,1501.00,1467.00
F..&.Kh..Cement,20190306,1493.00,1502.00,1460.00,1501.00,1929325758,1300025,145,D,1525.00,1480.00
F..&.Kh..Cement,20190305,1530.00,1535.00,1491.00,1525.00,1002369750,662576,88,D,1530.00,1491.00
F..&.Kh..Cement,20190304,1529.00,1547.00,1515.00,1530.00,1557774562,1016657,138,D,1528.00,1519.00
F..&.Kh..Cement,20190303,1545.00,1548.00,1511.00,1528.00,2330756205,1528992,248,D,1535.00,1518.00
F..&.Kh..Cement,20190302,1537.00,1550.00,1504.00,1535.00,496959261,325598,78,D,1536.00,1516.00
