<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gharb.Cement.,20190327,4230.00,4309.00,4105.00,4286.00,10393626241,2424829,303,D,4104.00,4309.00
Gharb.Cement.,20190326,4030.00,4175.00,4030.00,4104.00,4237549961,1032566,202,D,3977.00,4040.00
Gharb.Cement.,20190325,3940.00,4035.00,3872.00,3977.00,824315889,207270,69,D,3891.00,3912.00
Gharb.Cement.,20190319,4047.00,4049.00,3757.00,3891.00,2157206632,554425,122,D,3954.00,3965.00
Gharb.Cement.,20190318,4026.00,4078.00,3900.00,3954.00,2022796127,511593,156,D,4077.00,3955.00
Gharb.Cement.,20190317,4050.00,4112.00,3930.00,4077.00,7311197652,1793166,265,D,3917.00,4070.00
Gharb.Cement.,20190316,3810.00,3924.00,3809.00,3917.00,5896437248,1505171,187,D,3738.00,3924.00
Gharb.Cement.,20190313,3746.00,3798.00,3690.00,3738.00,1898470504,507904,123,D,3746.00,3700.00
Gharb.Cement.,20190312,3560.00,3786.00,3560.00,3746.00,3766749334,1005650,186,D,3606.00,3770.00
Gharb.Cement.,20190311,3545.00,3669.00,3545.00,3606.00,750335225,208101,87,D,3566.00,3600.00
Gharb.Cement.,20190310,3526.00,3635.00,3526.00,3566.00,763426897,214074,52,D,3571.00,3570.00
Gharb.Cement.,20190309,3602.00,3602.00,3522.00,3571.00,417551390,117783,54,D,3609.00,3545.00
Gharb.Cement.,20190306,3600.00,3690.00,3599.00,3609.00,832034468,230522,91,D,3681.00,3602.00
Gharb.Cement.,20190305,3744.00,3760.00,3606.00,3681.00,997267045,270898,89,D,3663.00,3700.00
Gharb.Cement.,20190304,3600.00,3738.00,3600.00,3663.00,1700630663,464331,118,D,3581.00,3719.00
Gharb.Cement.,20190303,3630.00,3630.00,3536.00,3581.00,1161652295,324350,67,D,3615.00,3590.00
